Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
27-Mar-18,10558.3,10578.65,10510.05,10556.6,406806347,15306.38
28-Mar-18,10515.4,10530.6,10463.95,10478.4,600528901,25270.83
02-Apr-18,10521.45,10604.75,10497.2,10596,,
03-Apr-18,10574.25,10654.4,10561.65,10643.9,371905422,14059.75
04-Apr-18,10674.6,10683.9,10506.9,10523.6,411295991,15753.81
05-Apr-18,10628.7,10732.9,10627.7,10726.25,400743032,15547.23
06-Apr-18,10726.3,10766,10690.85,10750.35,371748825,14030.17
09-Apr-18,10752.4,10811.4,10747.2,10792.6,385095557,14105.24
10-Apr-18,10829.15,10839.6,10788.55,10810.45,406210984,15034.73
11-Apr-18,10837,10837,10764.9,10826.15,392061410,15045.44
12-Apr-18,10819.45,10874.35,10802.2,10860.35,367533883,15177.04
13-Apr-18,10896.75,10923.6,10849.5,10879.35,362095016,15799.86
16-Apr-18,10800.5,10939.5,10798.75,10928.95,318621231,14139.54
17-Apr-18,10960.75,10961.4,10896.25,10950.05,338399461,13423.24
18-Apr-18,10981.65,10995.4,10910.7,10928.45,355484819,13058.54
19-Apr-18,10968.55,10981.05,10951.45,10974.75,416527311,16031.33
20-Apr-18,10967,10982.75,10928.95,10966.85,389973344,18348.28
23-Apr-18,10993.9,11043.9,10927.7,10993.3,329747006,16688.62
24-Apr-18,10988.3,11041.85,10976.4,11022.35,358339161,16066.29
25-Apr-18,11021.35,11023.3,10944.9,10980.55,354159041,15311.97
26-Apr-18,10999.05,11029.05,10967.2,11018.75,552322800,23749.01
27-Apr-18,11056.05,11122.25,11052.4,11095,444774594,20296.34
30-Apr-18,11112.2,11163.15,11110.55,11145.9,292987182,13350.04
02-May-18,11191.6,11191.95,11076.7,11105.9,379374134,18628.76
03-May-18,11106.05,11106.25,11017.3,11051.1,337216435,15982.94
04-May-18,11073.05,11073.05,10972,10986.5,328858475,13099.05
07-May-18,11023.9,11094.35,11005.2,11085.05,277116984,12114.77
08-May-18,11126.65,11127.6,11057.7,11082.2,423364425,16179.04
09-May-18,11057.8,11121.75,11055.1,11095,329926740,13342.74
10-May-18,11131.15,11138,11040.8,11052.5,336397487,13737.44
11-May-18,11079.75,11137.45,11052.85,11131.95,410588303,14127.63
14-May-18,11143.35,11158,11095.9,11124.1,331029514,12814.1
15-May-18,11128.9,11248.95,11088.35,11113.7,457927824,18179.45
16-May-18,11062.95,11107.75,11007.6,11058.7,466052565,15467.25
17-May-18,11094.15,11095.45,10988.65,11006.9,407192090,16371.91
18-May-18,10998.75,11000.2,10899.4,10908.05,396170251,17589.57
21-May-18,10927.75,10932.35,10803.8,10814.6,379611092,15407.54
22-May-18,10816.3,10863.05,10787.05,10852.8,487345958,16752.86
23-May-18,10839.35,10852.9,10737.55,10750.55,487378999,17277.19
24-May-18,10785.85,10849.45,10734.7,10827.25,479807196,16847.82
25-May-18,10849.4,10954.4,10838.95,10934,458364442,17181.11
28-May-18,10981.3,11051.65,10974.8,11033.55,434343083,16031.74
