Date,Open,High,Low,Close,Shares Traded,Turnover(₹ Cr)
18-Apr-18,5396.65,5401.4,5345.75,5361.95,176333184,3588.14
19-Apr-18,5380.75,5407.55,5362.8,5401.3,153055633,3243.33
20-Apr-18,5388.1,5388.75,5339.8,5373.1,198013359,4277.84
23-Apr-18,5374.15,5403.1,5358.9,5386.05,166159474,4013.67
24-Apr-18,5402.3,5410.15,5361.75,5374.3,188500894,3648.42
25-Apr-18,5367.1,5383.45,5333.45,5351.25,193924793,4353.94
26-Apr-18,5374.3,5378.8,5341.85,5371.9,274902569,6058.65
27-Apr-18,5392.6,5449,5388.85,5424.5,246779074,4896.53
30-Apr-18,5444.05,5469.25,5434.35,5461.25,276927188,5518.36
02-May-18,5474.15,5474.15,5340.7,5365.4,314004586,5670.64
03-May-18,5361.9,5362.75,5267.2,5293.7,367753479,6042.13
04-May-18,5291.1,5318.55,5263.65,5286.45,332231498,5870.95
07-May-18,5307.55,5351.45,5282.3,5344.75,337242636,7270.2
08-May-18,5364.4,5364.7,5323.5,5341.55,344314320,6944.6
09-May-18,5334.35,5341.1,5288.9,5295.2,240391543,4946.89
10-May-18,5288.6,5292.2,5186.1,5194.95,331301849,5212.85
11-May-18,5213.15,5237.45,5178.9,5231.05,264776289,5231.42
14-May-18,5223.05,5229.95,5157.05,5167.25,250012324,4535.34
15-May-18,5153.7,5215.6,5074.4,5111.75,256148371,4283.22
16-May-18,5087.15,5125.3,5058.2,5093.7,215911580,3840.59
17-May-18,5109.85,5120.85,5082,5103.1,200276340,3534.83
18-May-18,5094.25,5097.15,4999.8,5014.3,206886292,4418.21
21-May-18,5008.1,5016.05,4915,4936.25,190676845,4487.11
22-May-18,4941.45,4964,4895.85,4957.15,213864296,4130.96
23-May-18,4952.15,4974.55,4916.15,4924.55,209756102,3970.51
24-May-18,4934.6,4944.15,4863.55,4896,200994938,3743.05
25-May-18,4908.7,5031.95,4897.4,5018.75,212494958,4348.13
28-May-18,5052.15,5096.75,5031,5085.75,206679781,3877.53
29-May-18,5085.25,5101.9,5021.6,5047.35,172421551,3070.25
30-May-18,5007.55,5051.65,5001.35,5041.7,173728420,3148.81
31-May-18,5063.15,5064.6,5004.85,5013.05,427960896,5369.35
01-Jun-18,5013.9,5024.5,4923.5,4953.4,328504177,3654.82
04-Jun-18,4972.3,4976.2,4893.05,4907.05,220701859,3341.1
05-Jun-18,4921.2,4921.45,4797.05,4861.75,299076414,5309.36
06-Jun-18,4867.15,4936.3,4835.1,4924.7,242847484,3818.48
07-Jun-18,4957.15,5002.1,4943.5,4993.25,243032341,3646.5
08-Jun-18,4982.25,5022.4,4967.85,5018.65,179553776,3472.98
11-Jun-18,5034,5056,4999.4,5006.9,208029605,3627.66
12-Jun-18,5010.35,5060.25,5005.5,5053.45,163013149,3039.11
13-Jun-18,5072.65,5098.4,5032.95,5038.5,246706923,4233.87
14-Jun-18,5029.7,5048.9,5009.55,5045.4,174222471,3378.79
