Date,Open,High,Low,Close,Volume
06-05-2019,346.22,353.25,332.49,348.75,"31,88,375"
06-06-2019,348.18,351.64,345.58,350.64,"25,82,259"
06-07-2019,352.3,355.28,352.3,353.7,"24,70,694"
06-10-2019,356,357.4,353.55,353.8,"25,60,805"
06-11-2019,355.42,355.47,348.13,349.33,"27,02,727"
06-12-2019,349,349.27,342.8,347.03,"27,38,326"
06/13/2019,347.25,349.06,344.1,348.86,"26,21,303"
06/14/2019,348,349.17,345.89,347.16,"22,58,374"
06/17/2019,348.62,356.05,347.05,354.9,"37,46,426"
06/18/2019,357.61,374.65,357.6,373.96,"91,99,161"
06/19/2019,375.4,379.31,368.35,368.56,"57,15,985"
06/20/2019,373,375.79,368.96,374.88,"37,94,488"
06/21/2019,374.39,376.11,371.72,371.84,"49,23,678"
06/24/2019,372.95,375.49,372.1,373.99,"23,23,241"
06/25/2019,374.75,375.25,368.03,369.32,"30,05,403"
06/26/2019,371.02,378.98,370,374.94,"45,42,016"
06/27/2019,367.54,369.93,362.35,364.02,"89,80,010"
06/28/2019,363.92,366.23,361.57,364.01,"47,37,120"
07-01-2019,364.88,365.23,353.32,356.46,"64,09,568"
07-02-2019,355.63,356.78,352.69,354.16,"37,77,328"
07-03-2019,354.5,354.85,352.26,354.47,"21,64,921"
07-05-2019,354,357.25,351.43,355.86,"32,08,164"
07-08-2019,350.41,352.96,349.4,351.12,"32,62,324"
07-09-2019,349.05,353.85,347.9,353.09,"48,28,204"
07-10-2019,354.49,356.52,351.25,352.3,"29,46,742"
07-11-2019,352.62,359.26,350.7,359,"50,59,223"
07-12-2019,360,365.45,358.14,365.33,"35,92,818"
07/15/2019,360.5,362.85,359.02,361.61,"48,14,634"
07/16/2019,361.26,365.35,361.2,362.75,"29,60,425"
07/17/2019,362.75,369.75,362,369.52,"40,09,990"
07/18/2019,367.6,368.45,359.75,361.11,"46,15,218"
07/19/2019,370.67,378.4,368.5,377.36,"95,03,960"
07/22/2019,376.94,382.48,371.89,373.42,"42,67,293"
07/23/2019,374.27,376.43,370.68,373.07,"33,54,863"
07/24/2019,370.28,371.36,360.03,361.43,"74,47,884"
07/25/2019,356.18,357.69,345.71,348.09,"96,63,678"
07/26/2019,346.2,348.43,342,345,"44,41,078"
07/29/2019,344.99,346.08,339.11,340.21,"41,16,566"
07/30/2019,339.84,347.49,336.56,347.46,"45,27,975"
07/31/2019,348.49,351.29,341.05,341.18,"52,19,748"
08-01-2019,341.91,344.29,333,334.29,"64,65,267"
08-02-2019,334.56,340.54,332.32,339.56,"46,75,379"
08-05-2019,332.46,333.37,326.96,331.06,"58,76,085"
08-06-2019,333.99,335.7,329.14,332.45,"36,53,260"
08-07-2019,328.6,333.65,324.57,331.38,"41,87,612"
08-08-2019,331.3,336.43,328.86,336.35,"36,72,980"
08-09-2019,334.06,339.08,333.17,337.55,"31,02,912"
08-12-2019,333.68,336.01,331.37,332.94,"26,83,390"
08/13/2019,331.82,337.4,330.5,332.86,"37,22,995"
08/14/2019,328.35,329.54,320.41,320.42,"51,10,375"
08/15/2019,323,328.07,319.55,328,"47,21,760"
08/16/2019,330.22,331.16,326.48,330.45,"38,66,567"
08/19/2019,334.18,335.91,331.4,333.78,"23,35,628"
08/20/2019,332.47,333.5,328.88,331.75,"20,39,413"
08/21/2019,335.48,342.58,333.21,339.99,"32,66,453"
08/22/2019,342.43,356.44,341.01,354.41,"83,25,094"
08/23/2019,355.35,369.69,354.35,356.01,"1,15,27,790"
08/26/2019,365.04,367.34,356.89,359.04,"46,65,447"
08/27/2019,359.42,361.31,353.62,354.73,"37,42,125"
08/28/2019,353.31,360.19,351.18,359.97,"24,09,302"
08/29/2019,363.85,366.04,360.17,362.74,"27,18,316"
08/30/2019,364.37,366.37,362.4,364.09,"31,47,903"
09-03-2019,354.11,355.32,350.61,354.42,"42,73,831"
09-04-2019,357.68,358.03,354.43,356.53,"27,52,789"
09-05-2019,360.14,364.71,359.13,360.3,"36,46,077"
09-06-2019,361.61,364.91,359.12,363,"30,22,591"
09-09-2019,357.98,360.93,354.73,358.78,"41,83,288"
09-10-2019,359,369.49,358.55,369.49,"45,47,237"
09-11-2019,368.74,383.5,368,382.94,"84,37,022"
09-12-2019,383.71,384,374.31,375.63,"44,95,290"
09/13/2019,377.39,381.75,377.05,379.76,"36,28,926"
09/16/2019,378.14,381.63,375,378.85,"30,55,451"
09/17/2019,378.41,385.31,377.8,384.2,"32,99,033"
09/18/2019,383.25,386.74,379.8,386.41,"42,41,370"
09/19/2019,386.14,388.52,382.9,384.44,"30,26,629"
09/20/2019,384.11,384.73,377.92,379.39,"68,53,019"
09/23/2019,376.61,380.1,374.42,377.03,"30,61,873"
09/24/2019,379.54,381.89,375.31,381.65,"35,94,472"
09/25/2019,384.91,391,383.1,386.2,"47,82,395"
09/26/2019,387.1,388.23,383.33,386.89,"25,35,350"
09/27/2019,388.19,389.69,381.31,382.86,"27,32,148"
09/30/2019,383,383.77,376.69,380.47,"32,11,818"
10-01-2019,381.7,382.85,374.63,374.94,"29,53,276"
10-02-2019,371.85,372.99,363.77,367.36,"37,36,441"
10-03-2019,366.21,372.25,363.23,372.07,"27,19,561"
10-04-2019,372.25,376.13,371.72,375.7,"20,13,254"
10-07-2019,374.06,378.15,373.06,376.54,"19,53,195"
10-08-2019,371.05,377.34,368.64,374.1,"40,51,648"
10-09-2019,376,377.86,373.5,374.96,"27,94,769"
10-10-2019,373.7,374.54,370.33,371,"27,60,659"
10-11-2019,373,376.94,370.08,374.92,"39,73,451"
10/14/2019,374.25,378.7,372.68,373.18,"21,38,932"
10/15/2019,372.58,373.53,370.53,370.96,"28,61,420"
10/16/2019,370.22,377.42,369.24,372.43,"36,83,227"
10/17/2019,372.42,373.8,369.06,369.06,"24,02,691"
10/18/2019,369,369.35,344,344,"1,35,68,420"
10/21/2019,332.89,334.24,324.4,331.06,"1,55,38,450"
10/22/2019,336.07,341.48,334.46,337,"79,72,185"
10/23/2019,345,350.8,336.5,340.5,"1,09,93,360"
10/24/2019,341.7,345.74,337.77,344.55,"54,14,087"
10/25/2019,342.92,343.37,338.9,339.83,"40,58,018"
10/28/2019,341.5,344.98,339.49,340.88,"32,34,472"
10/29/2019,340.19,349.72,339.22,348.93,"61,13,596"
10/30/2019,346.63,350,343.27,346.06,"39,97,585"
10/31/2019,344.7,346.06,339.45,339.91,"38,68,444"
11-01-2019,340.59,345.19,339.5,345.19,"35,38,185"
11-04-2019,346.46,351.45,346.05,351.09,"37,03,034"
11-05-2019,355.23,361.61,353.19,358.29,"54,68,937"
11-06-2019,358.86,359.4,353.13,354.19,"38,15,659"
11-07-2019,356.12,359.4,355.05,357.31,"28,34,543"
11-08-2019,356.4,357,350.55,351,"32,20,608"
11-11-2019,349.04,369.75,345.56,366.96,"1,14,88,380"
11-12-2019,366.49,367.11,360.01,362.88,"57,73,506"
11/13/2019,361.87,366.62,361.12,362.5,"34,79,746"
11/14/2019,363.1,368.48,361.48,367.44,"53,43,481"
11/15/2019,370,373.48,369.3,371.68,"54,96,784"
11/18/2019,371.67,375.6,367.9,369.46,"38,24,935"
11/19/2019,373.51,374.83,361.61,367,"66,74,773"
11/20/2019,366,370.99,365.75,370.91,"37,75,225"
11/21/2019,369.75,370.76,366.26,366.44,"27,03,757"
11/22/2019,368.27,373.55,366.61,371.34,"39,15,722"
11/25/2019,372.52,374.3,369.2,373.13,"33,24,817"
