Date,Open,High,Low,Close,Volume
06/28/2019,95.46,95.65,94.2,94.68,"6,07,47,159"
07-01-2019,96.15,96.49,95.73,96.11,"6,40,66,939"
07-02-2019,95.97,96.74,95.33,96.72,"5,30,25,979"
07-03-2019,96.79,97.08,96.53,96.95,"3,38,05,880"
07-05-2019,96.43,97.3,96.27,97.15,"5,25,67,179"
07-08-2019,96.71,97.8,96.41,97.62,"5,76,67,419"
07-09-2019,97.39,99.5,97.17,99.42,"8,69,13,959"
07-10-2019,99.83,101.25,99.77,100.87,"9,86,38,039"
07-11-2019,101.28,101.79,99.77,100.05,"8,63,55,319"
07-12-2019,100.41,100.85,100.19,100.55,"5,01,85,939"
07/15/2019,101.07,101.15,100.08,101.05,"5,96,26,859"
07/16/2019,100.53,101.32,100.06,100.5,"5,23,63,959"
07/17/2019,100.35,100.6,99.6,99.6,"5,11,76,179"
07/18/2019,99,99.38,97.58,98.9,"7,00,85,039"
07/19/2019,99.56,99.8,98.11,98.23,"6,37,12,239"
07/22/2019,98.56,99.45,97.91,99.28,"5,81,62,219"
07/23/2019,99.8,99.89,98.66,99.72,"5,40,69,599"
07/24/2019,98.47,100.07,98.29,100.04,"5,26,25,999"
07/25/2019,100.05,100.06,98.64,98.69,"8,27,29,219"
07/26/2019,97.1,97.54,96.23,97.15,"9,85,42,859"
07/29/2019,96.5,96.61,94.53,95.62,"8,98,63,799"
07/30/2019,94.56,95.49,94.17,94.93,"5,82,17,759"
07/31/2019,94.91,94.98,92.47,93.34,"8,94,14,539"
08-01-2019,93.59,94.9,92.2,92.77,"9,42,66,219"
08-02-2019,92.25,92.32,90.4,91.16,"9,91,24,499"
08-05-2019,88.51,89.43,87.44,88.26,"12,11,64,238"
08-06-2019,89.61,89.69,87.67,89.39,"10,14,05,159"
08-07-2019,88.7,89.95,87.85,89.67,"9,05,37,679"
08-08-2019,90.3,91.71,89.91,91.64,"7,40,24,839"
08-09-2019,91.45,91.55,90.11,90.38,"5,75,95,399"
08-12-2019,89.8,90.05,88.85,89.25,"5,81,09,959"
08/13/2019,89.15,91.59,89,91.22,"8,15,00,419"
08/14/2019,89.65,89.78,87.86,88.15,"9,78,72,979"
08/15/2019,89.1,89.4,88.1,88.81,"7,61,98,959"
08/16/2019,89.64,90.15,89.23,89.63,"6,10,84,799"
08/19/2019,90.9,91.3,90.63,90.81,"5,64,06,059"
08/20/2019,90.73,90.84,89.99,90.07,"3,86,56,699"
08/21/2019,90.97,91.48,90.75,91.18,"4,07,84,619"
08/22/2019,91.4,91.47,90.01,90.28,"5,31,67,759"
08/23/2019,89.65,90.24,87.26,87.48,"10,55,57,959"
08/26/2019,88.35,88.5,87.18,88.44,"6,17,06,399"
08/27/2019,88.79,88.97,87.33,88.09,"6,05,44,899"
08/28/2019,87.75,88.39,87.2,88.21,"4,84,37,859"
08/29/2019,89.15,89.93,88.86,89.32,"6,03,60,239"
08/30/2019,89.87,89.99,88.23,88.81,"6,12,82,939"
09-03-2019,88.5,90.04,88.4,89.49,"7,09,37,179"
09-04-2019,90.25,90.38,89.81,90.03,"4,65,24,559"
09-05-2019,91.1,92.1,90.78,92.04,"6,65,03,779"
09-06-2019,91.91,92.03,91.32,91.68,"4,99,38,659"
09-09-2019,92.05,92.5,91.23,91.57,"5,99,90,299"
09-10-2019,91.14,91.29,90.27,91.03,"5,22,77,579"
09-11-2019,90.61,91.67,90.45,91.15,"4,86,55,339"
09-12-2019,91.88,92.68,91.71,92.18,"5,64,70,099"
09/13/2019,92.1,92.31,91.76,91.97,"3,94,26,339"
09/16/2019,91.2,91.28,90.01,90.39,"7,35,09,459"
09/17/2019,90.35,91.2,90.21,91.13,"4,06,61,159"
09/18/2019,90.85,91.1,89.78,90.87,"5,07,20,239"
09/19/2019,91.05,91.63,90.9,91.08,"4,15,66,699"
09/20/2019,91.09,91.53,89.05,89.71,"11,11,16,778"
09/23/2019,88.85,89.64,88.37,89.27,"6,27,82,839"
09/24/2019,89.53,89.79,86.78,87.08,"9,27,58,019"
09/25/2019,87.37,88.65,86.15,88.42,"7,06,21,959"
09/26/2019,88.14,88.17,86.58,86.99,"7,14,39,039"
09/27/2019,87.4,87.46,85.69,86.27,"7,89,60,579"
09/30/2019,86.35,86.87,85.46,86.8,"5,52,15,359"
10-01-2019,87.3,87.78,86.42,86.78,"6,34,09,199"
10-02-2019,86.39,86.44,85.25,85.66,"6,67,69,519"
10-03-2019,85.65,86.25,84.25,86.22,"7,24,87,419"
10-04-2019,86.3,87.03,85.96,86.98,"4,97,85,539"
10-07-2019,86.58,87.39,86.19,86.63,"4,37,51,959"
10-08-2019,86.12,86.35,85.25,85.28,"5,25,36,799"
10-09-2019,85.98,86.5,85.72,86.1,"4,17,86,699"
10-10-2019,86.26,86.91,85.69,86.01,"5,44,30,619"
10-11-2019,87.15,87.27,86.49,86.6,"6,55,90,679"
10/14/2019,86.45,87.09,86.1,86.82,"3,85,77,959"
10/15/2019,87.11,88.82,87.03,88.37,"6,25,84,879"
10/16/2019,88.67,89.31,88.53,88.87,"5,60,81,359"
10/17/2019,89.82,89.94,89.1,89.37,"5,42,75,459"
10/18/2019,89.39,89.7,87.46,87.88,"6,73,21,819"
10/21/2019,88.48,89.29,88.25,89.28,"4,44,98,039"
10/22/2019,89.41,89.49,88.1,88.29,"4,46,88,499"
10/23/2019,88.07,88.5,87.1,88.11,"4,38,07,599"
10/24/2019,88.55,89.42,88.01,89.04,"10,40,86,999"
10/25/2019,84.88,88.21,84.75,88.07,"19,25,28,037"
10/28/2019,87.4,88.94,87.13,88.85,"7,41,77,019"
10/29/2019,88.74,88.85,87.79,88.14,"4,55,37,099"
10/30/2019,88.01,89.12,87.96,89,"4,89,88,099"
10/31/2019,88.8,89.6,88.57,88.83,"5,56,23,699"
11-01-2019,89.4,89.87,89.26,89.57,"5,58,07,079"
11-04-2019,90.05,90.75,90.05,90.23,"5,54,38,439"
11-05-2019,90.46,90.51,89.7,90.09,"3,77,10,859"
11-06-2019,90.05,90.13,89.43,89.79,"4,05,95,659"
11-07-2019,90.19,90.3,89.17,89.41,"5,30,21,719"
11-08-2019,89.39,89.49,88.7,89.29,"4,25,23,959"
11-11-2019,88.9,89,88.36,88.58,"3,89,56,199"
11-12-2019,88.73,89.31,88.6,88.9,"4,07,78,499"
11/13/2019,88.67,88.75,87.37,87.66,"5,85,37,839"
11/14/2019,87.57,88.33,87.48,87.73,"4,53,88,339"
11/15/2019,88,88.08,86.64,86.97,"7,86,22,819"
11/18/2019,86.92,87.69,86.14,87.63,"5,68,38,139"
11/19/2019,87.85,88.03,87.15,87.64,"4,54,90,699"
11/20/2019,87.46,88.13,86.71,87.28,"5,58,75,179"
11/21/2019,87.15,87.34,86.52,86.74,"5,32,58,759"
11/22/2019,86.95,87.32,86.55,87.29,"4,95,81,619"
11/25/2019,87.66,88.87,87.66,88.69,"6,97,89,339"
11/26/2019,89,89.85,88.92,89.85,"6,38,08,559"
11/27/2019,90.05,91.23,89.87,90.93,"6,07,16,919"
11/29/2019,90.89,91.23,90.04,90.04,"3,84,68,799"
12-02-2019,90.22,90.28,88.13,89.08,"7,86,34,999"
12-03-2019,88,88.64,87.36,88.5,"7,05,91,639"
12-04-2019,88.7,89.45,88.01,88.03,"5,36,13,999"
12-05-2019,88.18,88.18,87,87.02,"5,65,57,039"
12-06-2019,87.56,87.72,87.01,87.58,"6,23,99,579"
12-09-2019,87.53,88.34,87.28,87.48,"5,00,49,779"
12-10-2019,87.37,87.53,86.75,86.96,"5,03,12,879"
12-11-2019,87.08,87.5,86.79,87.44,"4,20,26,359"
12-12-2019,87.5,88.2,87.27,88.02,"6,20,78,979"
12/13/2019,88.25,88.45,87.75,88.05,"5,48,95,419"
12/16/2019,88.35,88.48,87.85,88.46,"6,29,86,899"
12/17/2019,88.9,89.6,88.87,89.53,"7,29,33,939"
12/18/2019,89.75,89.91,89.12,89.2,"6,70,82,739"
12/19/2019,89.03,89.65,88.7,89.61,"5,47,66,399"
12/20/2019,89.98,90.15,89.12,89.33,"10,30,49,199"
12/23/2019,89.41,89.65,89.23,89.65,"4,27,49,859"
12/24/2019,89.69,89.78,89.38,89.46,"1,76,26,740"
12/26/2019,90.05,93.52,89.98,93.44,"12,04,92,158"
12/27/2019,94.15,95.07,93.3,93.49,"12,37,75,078"
12/30/2019,93.7,94.2,92.03,92.34,"7,35,46,119"
12/31/2019,92.1,92.66,91.61,92.39,"5,02,07,599"
01-02-2020,93.75,94.9,93.21,94.9,"8,07,18,199"
01-03-2020,93.23,94.31,93.23,93.75,"7,53,32,079"
01-06-2020,93,95.18,93,95.14,"8,13,13,959"
01-07-2020,95.23,95.69,94.6,95.34,"8,26,80,199"
01-08-2020,94.9,95.55,94.32,94.6,"7,02,39,319"
01-09-2020,95.49,95.89,94.79,95.05,"6,34,99,239"
01-10-2020,95.27,95.35,94,94.16,"5,71,39,179"
01/13/2020,94.57,94.9,94.04,94.57,"5,57,16,879"
01/14/2020,94.29,94.36,92.93,93.47,"6,89,27,619"
01/15/2020,93.61,93.94,92.75,93.1,"5,79,31,839"
01/16/2020,94.15,94.28,93.3,93.9,"5,31,89,859"
01/17/2020,94.29,94.33,92.86,93.24,"7,99,46,799"
01/21/2020,93.25,94.71,93,94.6,"7,41,55,699"
01/22/2020,94.8,95.13,94.17,94.37,"6,43,25,139"
01/23/2020,94.26,94.5,93.64,94.23,"4,96,92,259"
01/24/2020,94.57,94.75,92.37,93.08,"7,53,23,619"
01/27/2020,91,92.05,90.77,91.42,"7,05,70,179"
01/28/2020,92.03,92.91,91.5,92.66,"5,61,60,799"
01/29/2020,93.2,93.74,92.75,92.9,"4,20,27,799"
01/30/2020,92.9,93.64,92.53,93.53,"12,65,48,758"
01/31/2020,102.57,102.79,100.11,100.44,"31,13,45,596"
02-03-2020,100.53,102.43,100.01,100.21,"11,79,81,878"
02-04-2020,101.49,102.99,100.77,102.48,"10,57,86,759"
02-05-2020,103.55,103.55,101.6,101.99,"8,75,23,479"
02-06-2020,102.05,102.82,101.24,102.51,"6,36,59,079"
02-07-2020,102.1,104.93,101.91,103.96,"10,19,06,939"
02-10-2020,104.25,106.78,104.25,106.7,"10,11,24,699"
02-11-2020,107.55,109.3,106.8,107.54,"11,49,20,218"
02-12-2020,108.16,109.01,107.76,108,"6,66,85,279"
02/13/2020,107.25,108.51,107.1,107.49,"6,06,35,819"
02/14/2020,107.78,107.95,106.29,106.74,"5,21,23,379"
02/18/2020,106.25,108.3,106.21,107.78,"5,90,21,399"
02/19/2020,108.39,109.26,108.06,108.51,"5,12,23,299"
02/20/2020,108.65,108.84,106.37,107.66,"6,26,26,839"
02/21/2020,107.11,107.23,104.4,104.8,"9,30,14,799"
02/24/2020,100.16,101.96,99.4,100.46,"13,09,39,938"
02/25/2020,101.32,101.73,97.92,98.64,"12,43,81,878"
02/26/2020,98.51,100.73,98.02,98.98,"10,48,08,039"
02/27/2020,96.72,98.75,94.14,94.22,"16,28,79,858"
02/28/2020,90.73,94.49,90.56,94.19,"18,98,75,937"
03-02-2020,95.32,97.73,93.5,97.7,"13,52,33,018"
03-03-2020,98.77,99.82,94.4,95.45,"15,06,89,838"
03-04-2020,97.33,98.9,96.1,98.79,"9,54,58,379"
03-05-2020,96.65,98.04,95.5,96.2,"9,49,64,199"
03-06-2020,93.75,95.54,93.48,95.05,"10,54,71,599"
03-09-2020,88.69,93.14,88.06,90.03,"15,62,64,638"
03-10-2020,93.54,94.71,90.91,94.59,"14,26,66,198"
03-11-2020,92.89,93.57,90.08,91.04,"11,29,36,618"
03-12-2020,86.1,88.25,83.75,83.83,"22,69,24,197"
03/13/2020,87.75,89.32,84.03,89.25,"17,61,94,498"
03/16/2020,82.08,87.97,81.3,84.46,"17,83,45,298"
03/17/2020,88.77,92.89,84.46,90.39,"21,83,42,597"
03/18/2020,87.5,92.08,87.25,91.5,"19,29,04,357"
03/19/2020,93,97.25,91.63,94.05,"20,79,98,797"
03/20/2020,96.32,97.85,91.04,92.3,"19,63,56,997"
03/23/2020,91.39,95.97,90.6,95.14,"15,61,69,778"
03/24/2020,97.57,97.75,95.02,97.01,"14,29,41,598"
03/25/2020,96.03,97.51,94.29,94.29,"12,95,81,458"
03/26/2020,95.1,97.82,94.46,97.77,"12,47,02,358"
03/27/2020,96.54,96.99,95,95.01,"10,77,57,938"
03/30/2020,96.14,98.68,95.62,98.2,"12,25,21,738"
03/31/2020,98.22,99.65,97.2,97.49,"10,24,72,519"
04-01-2020,96.65,97.25,94.65,95.39,"8,24,37,499"
04-02-2020,95.08,96.38,94.5,95.94,"8,67,19,699"
04-03-2020,95.56,96.32,94.46,95.33,"7,21,97,399"
04-06-2020,96.8,99.93,96.5,99.88,"11,44,61,198"
04-07-2020,100.86,101.79,99.88,100.58,"10,22,79,659"
04-08-2020,101.05,102.2,100.56,102.15,"7,95,46,259"
04-09-2020,102.22,102.65,100.88,102.14,"9,31,12,339"
04/13/2020,102,109,101.9,108.44,"13,43,34,178"
04/14/2020,110.02,114.6,109.31,114.17,"16,17,43,858"
04/15/2020,112.88,116.67,112.25,115.38,"13,73,31,338"
04/16/2020,117.3,123.05,116.75,120.41,"24,07,63,997"
04/17/2020,118.62,120,115.8,118.75,"15,86,00,178"
04/20/2020,119.5,122.25,119.3,119.68,"11,54,13,878"
04/21/2020,120.83,121.42,113.98,116.41,"14,95,33,598"
04/22/2020,118.45,119.7,117.55,118.17,"8,43,65,899"
04/23/2020,120,121.21,119.1,119.97,"10,13,31,039"
04/24/2020,120.85,121.02,119.1,120.51,"7,66,35,939"
04/27/2020,122.16,122.24,118.15,118.8,"11,29,12,898"
04/28/2020,118.61,118.68,115.3,115.7,"10,53,88,919"
04/29/2020,116.5,119.59,115.5,118.64,"9,18,31,859"
04/30/2020,120.99,123.75,119.8,123.7,"19,06,92,217"
05-01-2020,116.84,118.12,112.91,114.3,"19,54,52,097"
05-04-2020,112.82,116.35,112.82,115.8,"9,73,18,519"
05-05-2020,117,117.55,115.36,115.89,"6,48,49,919"
05-06-2020,116.47,117.87,116,117.56,"6,23,56,279"
05-07-2020,118.74,118.8,117.16,118.38,"6,79,28,219"
05-08-2020,118.61,119.36,117.85,118.98,"6,42,24,559"
05-11-2020,118.74,120.98,118.61,120.45,"6,51,84,619"
05-12-2020,120.59,120.95,117.75,117.85,"6,14,98,319"
05/13/2020,118.34,120.39,116.89,118.4,"9,56,58,379"
05/14/2020,118.05,119.57,117.66,119.44,"7,29,62,559"
05/15/2020,118.43,120.55,117.82,120.49,"8,46,99,019"
05/18/2020,120.22,121.65,119.2,121.31,"8,73,31,439"
05/19/2020,121.49,124.25,121.45,122.47,"8,64,09,959"
05/20/2020,123.89,125,123.36,124.9,"7,99,62,859"
05/21/2020,125,126.27,122.13,122.34,"10,22,88,059"
05/22/2020,122.75,123.49,121.51,121.84,"5,73,41,579"
05/26/2020,122.9,123.1,120.7,121.09,"7,13,63,059"
05/27/2020,120.25,120.68,116.5,120.52,"10,11,38,899"
05/28/2020,119.22,121.85,118.91,120.06,"6,38,62,719"
05/29/2020,120.8,122.12,119.91,122.12,"7,05,86,579"
06-01-2020,122.4,123.85,122.21,123.55,"5,87,60,639"
06-02-2020,123.35,123.68,122.27,123.62,"5,05,98,059"
06-03-2020,123.4,124.4,123.06,123.92,"5,34,20,479"
06-04-2020,123.87,125.38,122.5,123.03,"5,89,74,199"
06-05-2020,122.23,124.43,121.86,124.15,"6,61,28,899"
06-08-2020,125.01,126.5,124.37,126.2,"7,94,13,079"
06-09-2020,126.47,131.32,126.25,130.04,"10,35,18,999"
06-10-2020,132.25,136.12,131.31,132.37,"9,89,20,619"
06-11-2020,130.18,133.57,126.81,127.9,"11,60,02,138"
06-12-2020,130.06,131.07,125.17,127.25,"10,87,22,538"
06/15/2020,126.33,129.2,125.4,128.63,"7,74,66,699"
06/16/2020,131,131,128.8,130.76,"7,19,12,979"
06/17/2020,132.38,132.75,131.59,132.05,"5,91,86,319"
